Company,Count
SunTx Capital Partners,66
"Dakota Financial, LLC",66
"Clear Recovery, Inc.",66
Midwest Acceptance Corp.,65
"Kross, Lieberman & Stone, Inc.",65
"United Collection Service, Inc (FL)",65
"Ragan & Ragan, PC",65
"General Information Services, Inc",65
"Law Offices of Robert A. Schuerger Co., LPA",65
BUSEY BANK,65
Celsius US Holding LLC,65
"SFS, Inc",65
South Carolina Student Loan Corp,65
"Rushmore Service Center, LLC",65
"Long & Foster Financial Services, Inc.",65
"Fenton & McGarvey Law Firm, P.S.C.",65
"Rickart Collection Systems, Inc.",65
JPL Recovery Solutions,65
"Razor Capital, LLC",65
"QuickClick Loans of Illinois, LLC",65
"Red Cedar Services, Inc",65
"Orion Portfolio Services, LLC",65
"Talbot, Adams, & Moore, Inc.",64
"Global Asset Management Group, Inc.",64
UNITED GUARANTY CORPORATION,64
Royal Pacific Funding Corporation,64
"Credit Technology, Inc.",64
HF Holdings,64
AG AH LLC,64
"HONOR FINANCE, LLC",64
EDvantage LLC,64
"Certified Solutions, Inc",64
ALTERNATIVE DISPUTE RESOLUTIONS,64
"Keith D. Weiner & Associates Co., L.P.A.",64
South Mississippi Collection Services Inc.,63
"eMoneyUSA Holdings, LLC",63
"DSR HOLDINGS GROUP, LLC",63
M1 Holdings Inc.,63
Midwestern Health Management INC,63
"Results Unlimited, Inc.",63
MISSION FINANCIAL SERVICES CORPORATION,63
Viva Finance Inc.,63
WATERSTONE MORTGAGE CORPORATION,63
"NFM, INC",63
"Charlottesville Bureau of Credits, Inc",63
Audit & Adjustment Co. Inc.,63
Giggle Finance Inc.,63
Mendelson Law Firm,63
"National Medical Administrators, Inc",63
"Apothaker & Associates, PC",63
"North American Asset Services, LLC",63
"Mid-America Accounts Control Bureau, Inc.",62
CONDOR CAPITAL CORP,62
Couch Lambert LLC,62
TOLEDO FINANCE CORPORATION,62
"DCI Credit Services, Inc.",62
Crossroads Systems Inc.,62
"Compass Recovery Group, LLC",62
Law Office of Harris & Zide,61
PENNSYLVANIA HOUSING FINANCE AGENCY,61
Richland Bureau of Credits Medical Service Bureau Inc.,61
"Citi Management Group, LLC",61
INTERFIRST MORTGAGE COMPANY,61
Collection Technology Incorporated,61
GENERATION MORTGAGE COMPANY,61
"West Coast Servicing, Inc.",61
"CBM Services, Inc.",61
"General Service Bureau, Inc.",61
"Milliman, Inc.",60
"Williams, Alexander & Associates, Inc",60
"Certified Services, Inc.",60
"Northeast Recovery Solutions, LLC",60
"Hiday & Ricke, P.A.",60
"RAB, INC.",60
Roycroft Management,60
"TradeStation Group, Inc.",60
LHR Inc.,60
"BCI FINANCIAL GROUP, INC.",60
"Biehl & Biehl, Inc",59
"Independence Capital Recovery, LLC",59
Team Recovery Inc.,59
"Consolidated Management Group, LLC",59
"Midwest Service Bureau, Inc.",59
"Big City Finance, LLLP",59
"Global Portfolio Recovery, LLC",59
Asset Recovery Bureau LLC,59
"Bilt Technologies, Inc.",59
Exto Inc.,59
Accounts Receivable Inc.,59
"MILLENNIUM FINANCIAL GROUP, L.L.C.",59
CSO Financial,59
ABR Recovery Services LLC.,59
Uber Technologies Inc.,59
"Gold Star Finance, Inc.",59
California Accounts Service,59
"Collection Bureau Services, Inc.",59
"United Recovery Group, LLC (Closed)",58
"Dominion Law Associates, P.L.L.C.",58
"Danco Financial Services, LLC",58
"Southern Financial Systems, Inc.",58
Earm LLC,58
"Net Pay Advance, Inc.",58
Evergreen Financial Services Inc.,58
We Collect Inc,58
Ready Capital Corporation,58
Flandreau Santee Sioux Tribe,58
Bureau of Accounts Control,58
SOUTHWEST COLLECTION SERVICES INC.,58
"The Law Offices of Gerald E Moore & Associates, PC",57
PRONTO FINANCE INC.,57
Credit Service Company,57
"Collection Management Services, Inc.",57
"Advantage Collection Professionals, Inc.",57
"NCD Financial, LLC",57
"Mary Jane M. Elliott, P.C. Attorneys At Law",57
"BUDGET CONTROL SERVICES, INC.",57
FIRST MORTGAGE CORPORATION,56
"Ark-La-Tex Financial Services, LLC",56
Optima Recovery Services LLC.,56
"CREDIT CONCEPTS, INC.",56
"Debt Collectors International, Inc.",56
"Avantus, LLC",56
Michael J Adams PC,56
"Titan Receivables, Inc.",56
"Professional Credit Analysts of MN, Inc.",56
"Liberty Holdings, LLC",56
Omnipoint Capital,56
HOMESTAR FINANCIAL CORPORATION,56
Gravamen Asset Management Group LLC,56
Nationwide Financial Group,56
"Capital Credit and Collection Service, Inc.",56
"Account Recovery Specialists, Inc.",56
Hatfield Portfolio Group LLC.,56
"Resolve Partners, LLC",56
"First Recovery Solutions, Inc.",56
"Bilateral Credit Corp, LLC",56
"CHECKredi of Kentucky, LLC",55
Four Directions Lending LLC,55
"MJ Altman Companies, Inc.",55
"TRUHOME SOLUTIONS, LLC",55
"4M Collections, LLC",55
"Paxful Holdings, Inc.",55
"1803 Capital, LLC",55
Express Aviation,55
"Municipal Collections Services, Inc.",55
Schreiber Law LLC,55
"Stephen Einstein & Associates, P.C.",55
Abrahamsen Gindin LLC,55
Home American Mortgage Corp,55
"The Law Offices of Kenosian & Miele, LLP",55
Future Judgement Solutions,55
SecurityNational Mortgage Company,54
Kirkland Asset Management LLC,54
"Bayside Capital Services, LLC",54
ClearPath Lending,54
"Acceptance Rentals, Inc.",54
"Collection Resources, Inc.",54
"Loan Science, LLC",54
"Second Alliance, Inc.",54
On Q Financial,54
Assured Financial Partners,54
"Praxis Financial Solutions, Incorporated",54
Advantage Financial Service LLC (Idaho),54
Affiliated Acceptance Corporation,54
"BAM Financial, LLC",54
Thrift Investment Corp.,53
Vericred Solutions LLC,53
AMERICAN FINANCING CORPORATION,53
Transcontinental Credit & Collection Corp,53
National Arbitration Forum,53
"Acrisure Mortgage Partners, LLC",53
"MarkOne Holdings, LLC",53
PERDUE BRANDON FIELDER COLLINS & MOTT LLP,53
"Campus Student Funding, LLC",53
"Delivery Financial Services, LLC",53
Worth Finance Corporation,53
"AUDIT SYSTEMS,INC",53
"Arena Investors, LP",53
National Financial LLC,53
OCEANSIDE MORTGAGE COMPANY,53
MID FLORIDA FINANCING LLC,53
"Nav Technologies, Inc.",53
DreamSpring,53
"Credit Bureau of Lancaster County, Inc.",52
"J.S Resolution Group, Inc.",52
"Slovin & Council Co., L.P.A.",52
Jana Ferrell & Associates LLC,52
MNS & Associates LLC,52
Chaplain Financial Services LLC,52
"FCC Finance, LLC",52
Broward Adjustment Services,52
Vermont Student Assistance Corporation,52
"GCFS, INC.",52
Hewitt-Capital,52
"Richard Sokoloff, Attorney At Law",51
Fedloan Help,51
All Debt Solutions Inc. dba: 1st Class Agency,51
PACIFIC WESTERN BANK,51
Kentucky Housing Corporation,51
"Continental Central Credit, Inc.",51
"United Consumer Finance, Inc.",51
"Protas, Spivok & Collins. LLC",51
MCMC Auto LTD,51
Friendly Finance Corporation,51
"Esusu, Inc.",51
"GMFS, LLC",51
"Integrity Funding Ohio, LLC",51
"Systematic National Collection, Inc.",51
Credova Holdings Inc,51
"Pro Com Services of Illinois, Inc.",51
Paul Michael Marketing Service,51
"McCullough Payne & Haan, LLC",51
United Acceptance Inc.,51
Primary Financial Services L.L.C.,51
Federated Student Loan Services,51
"BOGMAN, INC",51
Charleston Area Medical Center,51
"Collection Professionals, Inc. (Macomb, IL)",51
Integrated Asset Recovery LLC,50
"AAS Debt Recovery, Inc.",50
Lac Courte Oreilles Financial Services II,50
"WATERMARK CAPITAL, INC.",50
"Eagle Recovery Associates, Inc.",50
"Loan South Finance & Tax Service of Troy, LLC",50
Account Brokers Inc.,50
"Business Processing Solutions, LLC",50
TOLL BROTHERS INC,50
"WYNDHAM CAPITAL MORTGAGE, INC.",50
"TAYLOR MORRISON HOME FUNDING, INC.",50
"Legal Recovery Law Offices, Inc",50
Cooper Hoffman Klein Associates,50
"Fleet Financial, Inc.",50
"RevMD Partners, LLC.",50
"Accounts Management, Inc",50
Markoff Law LLC,50
BELMONT FINANCE LLC,50
AmeriFirst Financial Corporation,50
"Gragil Associates, Inc.",50
"Rubin & Yates, LLC",50
"CARMEL FINANCIAL CORPORATION, INC.",50
"Solutions To Portfolios, LLC",50
DRS Financial LLC,50
Armor Systems Corporation,49
Credit Glory LLC,49
"New Era Asset Management, LLC",49
"Commerce Home Mortgage, Inc",49
"Propel, Inc.",49
Community Cash Management Corp.,49
"Valarity, LLC",49
"Financial Filing & Reporting, Inc.",49
"Skagit Bonded Collectors, LLC",49
Universal Payment Corporation,49
Credit Wise Recovery Solution LLC,49
"Coastline Financial Resources, LLC",49
"Affiliated Collection Services, LLC",49
Couch Conville & Blitt LLC,49
"NCS, Inc",49
"Palmar, Inc.",49
"O&L LAW GROUP, P.L.",49
PRANCER CAPITAL CORP,49
MLD MORTGAGE INC,49
"Silverman Theologou, LLP",49
Hanwha QCells USA Corp,48
"New Century Auto Sales, Inc.",48
"UNIVERSAL COLLECTION SYSTEMS, INC",48
"Reimer, Arnovitz, Chernek &Jeffrey Co., LPA",48
Allegiant Capital Recovery LLC,48
"A-1 Premium Acceptance, Inc.",48
VANDYK MORTGAGE CORPORATION,48
"RMB, Inc.",48
"Interstate Recovery Service, Inc.",48
Time Investment Corporation,48
"Lazarus Financial Group, Inc.(Closed)",48
Moneytree Inc,48
"E-Backgroundchecks.com, Inc.",48
Stewart Information Services,48
Signature Bank (NY),48
"Advanced Recovery Systems, Inc.",48
"Asset Recovery Group, Inc.",48
Volunteer Mortgage Loan Servicing,48
CADENCE BANCORPORATION,48
Falls Collection Service Inc.,47
"IMC Capital, LLC",47
"Insikt, Inc.",47
Snow and Sauerteig LLP,47
Island Finance Puerto Rico,47
TRINITY HOPE ASSOCIATES,47
"Komyatte & Casbon, P.C.",47
Convergys,47
CALCON MUTUAL MORTGAGE LLC DBA ONETRUST HOME LOANS,47
"KILOWATT FINANCIAL, LLC, A SPRUCE FINANCE COMPANY",47
TOWNEBANK,47
Northeast Collection Bureau,47
"Tebo Financial Services, Inc.",47
"JMD,LLC",47
"BQ & Associates, P.C., L.L.O.",47
COLLECTIONS UNLIMITED OF TEXAS INC,47
"Kenneth, Eisen & Associates, LTD.",47
Justice Finance Company,47
"Professional Recovery Consultants, Inc.",46
Main Street Personal Finance,46
"Majority USA, LLC",46
"Access Credit Management, Inc.",46
"Butler and Associates, PA",46
Mid-Atlantic Consumer Services,46
Trans-Fast Remittance LLC,46
"Scratch Financial, Inc.",46
Pacific Retrieval LLC,45
STATE STREET BANK AND TRUST COMPANY,45
"Madison Management Services, LLC",45
"Southern Credit Adjusters, Inc.",45
BHFC Financial Services INC,45
"CIR, Law Offices",45
"Russell W Richardson, Attorney at Law",45
"Live Well Financial, Inc.",45
Sulphur Bank Rancheria Enterprises,45
"Capital Alliance Financial, LLC",45
Element Global Services,45
CFM Group LLC,45
"Greenberg, Grant & Richards Inc.",45
Zillow Group Inc.,45
FIRST CONTINENTAL MORTGAGE LTD,45
CRED Technologies dba cred.ai,45
Collectibles Management Resources,45
"Federal Pacific Credit Company, LLC",45
"Troy Capital, LLC",44
"Kornerstone Credit,  LLC.",44
USA DISCOUNTERS LTD,44
Fair Financial Corp.,44
"Elite Financial Services, Inc.",44
ALLIED MORTGAGE GROUP,44
"Finance System of Green Bay, Inc.",44
"Allied Account Services, Inc.",44
Titanium Funds,44
"SACOR FINANCIAL, INC",44
"Check City Partnership, LLC",44
Prime Recovery LLC,44
"Money Management International, Inc.",44
"Regional Acquisition Group, Inc.",44
Union Credit Corporation,44
"CAB Receivables, Inc.",44
Bay Equity LLC,44
AmWest Funding Corp.,44
"Denali Capital Holdings, LLC",44
HIGHLAND FINANCIAL SERVICES (Closed),44
Meridian ARG Inc.,44
"Oasis Legal Finance Holding Company, LLC",44
Rhode Island Student Loan Authority,44
KP ASSET CONSULTING LLC,44
"BREMER BANK, NATIONAL ASSOCIATION",43
"ACI Worldwide, Corp.",43
COLLECTION PROFESSIONALS INC (Illinois),43
"Lil' Wave Financial, Inc.",43
"H. Kent Hollins, Attorney at Law, P.A",43
"Daniels Norelli Scully & Cecere, P.C.",43
"Global Processing Services, LLC",43
"Mitsubishi Motors North America, Inc.",43
"MINNESOTA LIFE INSURANCE CO., THE",43
"Healthcare Financial Services, LLC",43
"Scratch Services, Inc.",43
RateGenius Loan Services Inc,43
"Emerald Canyon Capital, LLC",43
Receivable Solutions LLC,43
"Axela Technologies, Inc",43
"CDI Affiliated Services, Inc.",43
"Lotane & Associates, P.A.",43
Kubota North America Corporation,43
"SOUTHSTATE BANK, N.A. - 520 GERVAIS STREET BRANCH",43
Credit Bureau Services of Iowa Inc.,43
"JFQ Lending, LLC",43
"E Mortgage Capital, Inc.",43
SEACOAST BANKING CORPORATION OF FLORIDA,43
"Emergent Business Group, Inc.",43
"FIRST COMMUNITY MORTGAGE, INC.",43
Student Loan Financial Assistance,42
"Schachter Portnoy, L.L.C.",42
GSF MORTGAGE CORP,42
"Coastal Financial Solutions, LLC",42
"Alliance CAS, LLC",42
Trust Financial LLC,42
RUOFF MORTGAGE,42
Roquemore Holdings LLC,42
Vertical Screen,42
Benht: Economic Development Corporation,42
Direct Capital,42
"CHS, Inc.",42
"B9, Inc.",42
"Debois, Inc.",42
"American Credit Resolution, Incorporated",42
College Assist,42
"Ratchford Law Group, P.C.",42
VANGUARD FUNDING LLC,42
A-L FINANCIAL CORP,42
"Forster, Garbus and Garbus",42
InvestiNet LLC,42
FEARON FINANCIAL LLC,41
Kora Financial,41
Pathfinder Credit Services,41
RMA Credit Association,41
Law Offices of Timothy M. Sullivan,41
"GAMACHE & MYERS, PC",41
Lake City Credit,41
"Brightwater Capital, LLC",41
"ONE REVERSE MORTGAGE, LLC",41
Alliance Recovery Group,41
Cheadle Law Firm,41
Xtreme Products LLC,41
Affiliated Management Services,41
"New Hampshire Northeast Credit Services, Inc.",41
"Peterson Enterprises, Inc.",41
"Estate Information Services, LLC",41
"Bitstamp USA, Inc.",41
L.B.Gray LLC A Debt Collection Agency,41
Michael Wayne Investment,41
"Global Asset Agency, Inc.",41
MID-ISLAND MORTGAGE CORP.,41
Carmichael & Frost LLC,41
American Finance LLC,41
"YKS Acceptance, Inc.",41
"Works & Lentz, Inc",41
Global Credit Union,41
"C & M Associates Group, Inc.",40
Fulton Friedman & Gullace LLP,40
"R&R Professional Recovery, Inc.",40
"MSCB, Inc.",40
Greene & Cooper Collections LLC,40
"Bursey & Associates, P.C.",40
"Medical Financial Services, Inc.",40
Evergreen Moneysource Mortgage Company,40
"Amcap Investments, LLC",40
"MSW Capital, LLC",40
Mutual Financial Partners,40
CONTRACT RESOLVE GROUP LLC,40
Robinson & Hoover,40
"Auto Advantage Finance, LLC",40
Ygrene Energy Fund Inc.,40
"Michigan Mutual, Inc.",40
STEWARD FINANCIAL SERVICES LLC,40
Physicians & Dentists Credit Bureau,40
Spring Equity LLC,40
"CommonBond, Inc.",40
Cognition Financial Corporation,40
"MOUNTAIN WEST FINANCIAL, INC.",40
"FIRST FINANCIAL SERVICES, INC.",40
DTA GROUP LLC,40
"King of Credit Financial, Inc",40
"Local Management, LLC",40
"National Healthcare Collections, LLC",40
"The LGM Co., Inc.",39
"Pioneer Credit Company, Inc",39
"Professional Choice Recovery, Inc.",39
"Credit Bureau of Jamestown, Inc.",39
United Recovery Solutions,39
"MFP, inc.",39
Rhode Island Housing and Mortgage Finance Corporation,39
"EMG ACQUISITION GROUP, LLC",39
Model Finance Company,39
Sound Collection Services,39
Accurate Financial Partners,39
Overland Bond & Investment Corporation,39
HoldCo LLC,39
"Capital Mitigation Services, LLC",39
"Medical & Professional Collection Services, Inc. NC.",39
IDAHO CENTRAL CREDIT UNION,39
"Delta Outsource Group, Inc.",39
"Genesys National Recovery, Inc.",39
Credit Sage LLC,39
"DAS ACQUISITION COMPANY, LLC",39
"Modlin Slinsky, P.A.",39
"DIME COMMUNITY BANCSHARES, INC.",39
Law Offices of Les Zieve,39
Marcadis Singer PA,39
Brown’s New Credit Bureau Inc.,39
"Phoenix Health Care Management Services, Inc.",39
Dividend Finance Inc.,39
Patrick K Willis Company Inc,38
"Zakheim Law Group, P.A.",38
"World Recovery Service, LLC",38
Nexum Group Inc,38
"NPG Associates, Inc.",38
"Valley Credit Service, Inc. (OR)",38
Benworth Capital Partners LLC,38
Premier Holdings,38
OCEANFIRST FINANCIAL CORP.,38
Mid-Michigan Collection Bureau,38
Centralized Business Solutions Company,38
Clearview Resolution Services,38
TOTAL MORTGAGE SERVICES LLC,38
"Finkelstein, Kern, Steinberg & Cunningham, PC",38
"PROVIDENT FINANCIAL SERVICES, INC.",38
A&D Mortgage LLC,38
Armed Forces Loans of Nevada Inc.,38
LEADER ONE FINANCIAL CORPORATION,38
"Russell Collection Agency, Inc",38
"KAHRS LAW OFFICES, PA",38
"Armstrong and Associates, Inc",38
"HomeTown Lenders, LLC",38
ADR ARBITRATION SERVICES (Closed),37
HOME FINANCING CENTER,37
"Union Adjustment Company, Inc.",37
"Mel S. Harris and Associates, LLC",37
"GUARDIAN CAPITAL MANAGEMENT HAWAII, LLC",37
"Heartland Resolution Group, LLC",37
ALASKA COMMISSION ON POST SECONDARY EDUCATION,37
Essential Retrieval Group,37
Streamline Recovery Inc,37
UNITED SECURITY FINANCIAL,37
"INTERCONTINENTAL EXCHANGE, INC.",37
"MORTGAGE CENTER, LC",37
Receivables Management Corporation of America,37
Quantum Servicing Corporation,37
"First Service Residential, Nevada, LLC",37
"Freeway Funding, Inc.",37
"Concorde Auto Management, LLC  DBA  Concorde Auto Acceptance",37
"De Lage Landen Finance, LLC",37
Student Services,37
"GENERAL BUSINESS RECOVERIES, INC.",37
"United Debt Counselors, LLC",37
"Cascade Collections, Inc.",37
"StellarFinance, Inc.",36
"Intermex Wire Transfer, LLC",36
Plastiq Inc.,36
Collection Bureau of Walla Walla,36
Credible Labs Inc.,36
NATIONS RELIABLE LENDING LLC,36
"Receivable Solutions Specialist, Inc.",36
"Hameroff Law Group, P.C.",36
CITYWORTH MORTGAGE LLC,36
Cadillac Accounts Receivable Management,36
"Liberty Home Equity Solutions, Inc.",36
"Northwest Trustee Services, Inc.",36
Accelerated Receivables Solutions,36
CONTOUR MORTGAGE CORPORATION,36
"AMALGAMATED TOKEN SERVICES, INC.",36
Lending Solutions Mortgage/ LSI Mortgage,36
Pendleton Capital Management,36
NCP Finance,36
"Performance Settlement, LLC",36
"Harmon Law Offices, P.C.",36
"Child Support Recovery Services, Inc.",36
BUCKEYE FINANCIAL SERVICES OF ALLIANCE INC.,36
"Recovco Mortgage Management, LLC",36
SET Financial Corporation,36
Dunlap Gardiner LLP,36
"Schrier, Tolin and Wagman, LLC",36
Weinman Acquisition Group,36
MORTGAGE LENDERS OF AMERICA,36
"Atlantic Collection Agency, Inc.",35
"Cohn, Goldberg & Deutsch,LLC",35
"STATE BANKSHARES, INC.",35
Revolution Financial Inc.,35
"Sovereign Lending Group, Incorporated",35
Rocky Mountain Capital Management,35
"Mark A. Kirkorsky, PC",35
Western Portfolio Assets,35
Leaders Financial Company,35
Law Office of J.A. Cambece,35
"First Step Group, LLC",35
"GFS, Inc.",35
GRANDVIEW FINANCIAL SERVICES INC.,35
"E. A. Uffman & Associates, Inc",35
Reach Financial LLC,35
"Triton Management Group, Inc",35
"Sprechman & Associates, P.A.",35
First Choice Assets LLC.,35
"Certified Bureau of the South, Inc",35
PLATINUM HOME MORTGAGE CORPORATION,35
"Cogent Road, Inc.",35
Controlled Credit Corporation,35
Pioneer Capital Solutions Inc,35
"Alco Collections, Inc.",35
"United Military Mortgage, LLC",35
"G&P Enterprises, LLC",35
Goldcar Lending Inc.,35
"Law Office of James R. Vaughan, P.C.",35
"E MORTGAGE MANAGEMENT, LLC",35
"AMERIFIRST FINANCIAL, INC.",35
TH Professional & Medical Collections LTD,35
"Financial Asset Management, Inc.",34
Robinson Economic Development Corporation,34
"Lima One Capital, LLC",34
Diversified Recovery Services Inc.,34
"INDEPENDENT BANK GROUP, INC.",34
Lionstone Holdings Group,34
"McCarthy & Holthus, LLP",34
"Cash Time Title Loans, Inc.",34
MoneySpot USA LLC DBA Sunshine Loans,34
"Cordoba Legal Group, PLLC.",34
"Asset Management Professionals, LLC",34
"McKellar & Associates Group, Inc.",34
"One Technologies, LP",34
Rossman & Co & PCB,34
Helm Associates,34
"ADP, LLC",34
"Thomas George Associates, Ltd.",34
"Rubin & Debski, P.A.",34
Alliance Group & Associates LLC,34
HIGHLANDS RESIDENTIAL MORTGAGE,34
New Mexico Educational Assistance Foundation,34
"Bristlecone, Inc.",34
Receivable Asset Management,34
Helbing Law Group,34
"MortgagePros, LLC",34
"FirstCredit, Inc.",34
Niagara Portfolio Solutions LLC,34
"SandP Solutions, Inc.",34
"Muskegon Car Credit, Inc.",34
STATE BANK OF INDIA - NEW YORK BRANCH,33
"Medical Recovery Services, LLC",33
"Rock Creek Capital, LLC",33
"Kehoe Financial Group, LLC",33
"PROFICIO MORTGAGE VENTURES, LLC",33
"Scott Lowery Law Office, P.C.",33
Triton Recovery Group,33
"First Direct Lending, LLC",33
Castle and Cookie Mortgage LLC,33
Wealthfront Corporation,33
Greystone Alliance LLC,33
"Prizm Financial Company, LLC",33
"CAPITAL RESOURCE MANAGEMENT, INC.",33
Greentree & Associates,33
"NATIONWIDE MORTGAGE BANKERS, INC.",33
Accounts Receivable Consultants Inc.,33
Hirshberg Acceptance Corporation,33
"MEDCAH, Inc.",33
"PMT Solutions, LLC.",33
Sterling Credit Corp.,33
"Vantage Sourcing, LLC",33
Astra Business Services,33
"Ashton & Weinberg, Inc.",33
"Easy Finance, LLC",33
"United We Collect, Inc.",33
"Accredited Collection Service, Inc.",33
Opportunity Fund,33
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA (USA), NATIONAL ASSOCIATION",33
"Esser, James & Associates",33
Titan Revenue Solutions,33
"Credit Service, Inc",33
"Point Digital Finance, Inc.",32
Meritize Financial Inc.,32
"Roach & Murtha, P.C.",32
"Account Recovery Services, Inc.",32
"NETWORK FUNDING, L.P.",32
Partners for Payment Relief,32
"Lugano Capital, Inc. d/b/a Start Auto Finance",32
"Mitchell Rubenstein & Associates, P.C.",32
"Vanguard Financial Services, Inc.",32
"Select Financial Services, Inc.",32
"WESTERN CONTROL SERVICES, INC.",32
Pacific Rim Alliance Corporation,32
"Pintor Partners, LP",32
"Higher Education Servicing Corporation, Inc.",32
La Casa Bonita Investments,32
"Relin, Goldstein & Crane, LLP",32
Wakpamni Lake Community Corporation,32
Cordoza & Wexler Recovery Services,32
STOCKTON MORTGAGE,32
The Law Office of Daniel Slane,32
"Emmett L. Goodman, Jr., LLC",32
"CERTIFIED COLLECTORS, INC.",32
"Sokaogon Finance, Inc.",32
Unified Global Group,32
Bankers Auto Acceptance,32
SHABANA MOTORS,32
"Access Capital Services, Inc.",32
"Meade Recovery Services, LLC",31
"Global Equity Finance, Inc.",31
NORTHWAY BROKER LTD.,31
"Executive Credit Management, Inc",31
Collection Attorneys USA LLC,31
Athena Bitcoin Inc,31
"Neighborhood Capital Funding, Inc.",31
"Fairway Collections, LLC",31
"Smith, Cohen & Rosenberg LLC",31
"Sterling & Associates, LLC",31
"DMB Financial, LLC",31
National Default Servicing Corporation,31
OKCoin USA Inc.,31
"Makes Cents, Inc. dba Advance.Cash",31
"Automotive Management Services, Inc.",31
"Western Mercantile Agency, Inc",31
"Clasp Group, Inc.",31
BANCFIRST CORPORATION,31
HGREG.com,31
eMortgage Funding LLC,31
"Uptain Group, Inc.",31
ACXIOM CORP.,31
"Law Offices of Marvin S. C. Dang, LLC",31
Rapid Auto Loans LLC,31
"Emerald AR Systems, LLC",31
RESIDENTIAL HOME FUNDING CORP.,31
"International Recovery Associates, Inc.",31
Quest Legal Group,31
WINNPOINTE CORPORATION,31
"Cash Link USA, LLC",31
Foreman Financial Inc.,30
"R & R Collection Service, Inc.",30
NPS GROUP,30
"Hello Digit, LLC",30
"Financial Freedom Mortgage, LLC",30
College Loan Corporation,30
"Richard J. Boudreau & Associates, LLC",30
Paycheck Solutions llc,30
BOC LLC,30
"iQuantified Management Services, LLC",30
Red Target LLC,30
Credit Solutions,30
Peoples Commerce Inc,30
Ascension Recovery Management,30
London & London,30
Federated Law Group,30
"Advanced Call Center Technologies, LLC",30
"Legal Prevention Services, LLC.",30
"EQUITY RESOURCES, INCORPORATED",30
Law Office of Linda Strumpf,30
"Credit Resolutions, LLC",30
"Syncapay, Inc",30
"RCS Recovery Services, LLC",30
Massachusetts Housing Finance Agency (MassHousing),30
Camino Financial Inc.,30
ACRANET INC,30
COMPUTER SCIENCES CORPORATION,30
Reliance Exchange Group,30
FastBucks,30
"Jenkins, Wagnon & Young, P.C.",30
"Federal Cash Advance, LLC of Oklahoma",30
"Crescent City Credit Recovery, Inc.",30
"Prog Holdings, Inc.",30
"Bryant, Hodge & Associates LLC",30
Round Two Recovery,30
"Protocol Recovery Service, Inc.",30
Swe Homes LP,29
"Darnel Quick Recovery, Inc.",29
"Ingenuity RM, LLC",29
GENTRY FINANCE CORPORATION,29
Podium Mortgage Capital LLC,29
Rocky Mountain Recovery Group,29
"CBA of GA, Inc.",29
Lincoln Financial Services,29
The Collection Connection,29
Nationwide Arbitration Services LLC,29
"Acquired Assets, Ltd.",29
"Thrivepoint Financial Holdings, Inc.",29
Columbia Collectors Inc,29
SCS Credit Corporation,29
"NOVA Financial Holding Company, LLC",29
"Cohen & Cohen Law, LLC",29
J&L Collection Services,29
"United Funding Logistics, LLC",29
"ACCELERATED COLLECTION SERVICE, INC",29
"The Law Firm of Derek Williams, LLC d/b/a Infinite Law Group",29
"Douglas, Chancellor, Meyers and Associates, LLC",29
Everi Payments Inc.,29
"Consumer Legal Group, P.C.",29
"PASCO, Inc",29
Olympic Collection Inc.,29
"Capital Recovery Systems, Inc.",29
"Credit Bureau Data, Inc.",29
"Crown Holdings, LLC",29
"Inflection.com, Inc.",29
"Core Advisory Group, LLC",29
Apple Financing LLC,29
4 Star Resolution LLC (Closed),29
"James E. Albertelli, P.A., a Florida professional association",29
"BANC OF CALIFORNIA, INC.",29
"Specified Credit Association, Inc.",29
Carma Enterprises Inc,28
Niagara Restitution Service Inc,28
"Century Credit & Collections, LLC",28
"Revenue Cycle Associates, Inc.",28
Middle Georgia Management Services,28
"Quick Bridge Funding, LLC",28
ASG Solutions LLC,28
Stern & Stern. P.C.,28
UNITED CREDIT CORP. OF SOUTHAVEN,28
"MEMBER FIRST MORTGAGE, LLC",28
"RSVP Lending, LLC dba RSVP Loans",28
"Norwich Commercial Group, Inc.",28
"Health Services Asset Management, LLC.",28
"National Debt Holdings, LLC",28
CONST LLC,28
"Snap Recovery, Inc.",28
Total Auto Finance,28
SFMC L.P.,28
Ashwood Financial Inc,28
"Stephen L. Bruce, P.C.",28
Cactus Jacks Auto Sales,28
FIRST MORTGAGE COMPANY,28
"City Enterprises, LLC",28
Texan Credit Corporation,28
"Collection Services, Inc.",28
"INTEGRAL RECOVERIES, INC.",28
"Veldos, LLC",28
ACOPIA CAPITAL GROUP,28
"Barrett Financial Group, L.L.C.",28
"American Collection Systems, Inc.",28
DAIMLER TRUCK FINANCIAL SERVICES USA LLC,28
"Dynamic Collectors, Incorporated",28
"Credit Union Mortgage Association, Inc.",28
"ASSURANCE FINANCIAL GROUP, LLC",28
"Alliance Asset Management, Inc (Closed)",28
Franklin Financial  Corporation,28
"Student Loan Care, LLC",28
"Full Circle Financial Services, LLC",28
Data Check of America LLC,28
"WMC MORTGAGE, LLC",28
"Credit Bureau of Council Bluffs, Inc DBA Credit Information Systems",28
"Creditors' Protection Service, Inc.",28
Consumer Real Estate Finance Co.,28
"AutoMoney, Inc.",28
"Peoples Home Equity, Inc.",28
"The Law Offices of Frederic I. Weinberg & Associates, P.C.",28
"Axiom Acquisition Ventures, LLC",28
