Company,Count
PHH Mortgage Services Corporation,2450
"Receivables Performance Management, LLC",2449
BANK OF THE WEST,2444
"Colony Brands, Inc.",2434
Velocity Portfolio Group,2432
Penn Credit Corporation,2397
"MRS BPO, LLC",2366
Servicer under contract with Federal Student Aid,2317
V and H Portfolio,2316
CNG FINANCIAL CORPORATION,2305
"Dovenmuehle Mortgage, Inc.",2285
Rent Recovery Solutions,2283
Selene Holdings LLC,2260
"Diversified Adjustment Service, Inc.",2200
AmeriCollect,2200
"CIT BANK, NATIONAL ASSOCIATION",2187
Credit Corp Solutions Inc.,2143
"Avant Holding Company, Inc.",2140
"Upstart Holdings, Inc.",2127
"MARINER FINANCE, LLC",2127
LCI Acquisition Inc.,2109
"John C. Heath, Attorney at Law, PLLC",2088
VW Credit,2063
"Populus Financial Group, Inc. (F/K/A Ace Cash Express)",2045
Consumer Adjustment Company Incorporated,2013
"Credit Control, LLC",2003
CCF Intermediate Holdings LLC,1998
Conduent Incorporated,1964
"CMRE Financial Services, Inc.",1952
Ad Astra Recovery Services Inc,1942
Midwest Recovery Systems,1933
"FactorTrust, Inc.",1915
Army and Air Force Exchange Service,1902
Central Portfolio Control Inc.,1885
"Bull City Financial Solutions, Inc",1874
IQOR US INC,1865
LJ Ross Associates,1838
"EXPERT GLOBAL SOLUTIONS, INC.",1821
"AmeriHome Mortgage Company, LLC",1794
Monterey Financial Services LLC,1791
"Dynamic Recovery Solutions, LLC",1785
"Lockhart, Morris & Montgomery Inc.",1719
"Receivables Management Partners, LLC",1711
BANCO POPULAR DE PUERTO RICO,1711
"United Shore Financial Services, LLC",1709
"Professional Debt Mediation, Inc.",1701
"I.Q. DATA INTERNATIONAL, INC.",1699
Selene Finance LP,1695
"The Bureaus, Inc.",1688
MIDFIRST BANK,1675
"EVERBANK, NATIONAL ASSOCIATION",1661
NEW YORK COMMUNITY BANCORP INC,1652
Lendmark Financial Services,1644
"Collection Management Holdings, LLC",1628
AMERISAVE MORTGAGE CORPORATION,1615
"Franklin Collection Service, Inc.",1613
Alorica Inc.,1612
"RentDebt Automated Collections, LLC",1610
"Waypoint Resource Group, LLC",1583
TransferWise Ltd,1580
GREAT LAKES,1574
"Credit Systems International, Inc.",1561
SECURITY FINANCE CORP,1556
Absolute Resolutions Corp.,1547
"ARVEST BANK GROUP, INC.",1534
MicroBilt / PRBC (formerly CL Verify),1529
Innovis,1503
"United Collection Bureau, Inc.",1494
OPORTUN FINANCIAL CORPORATION,1493
Lending Club Corp,1487
"STERLING JEWELERS, INC.",1476
STATE EMPLOYEES CREDIT UNION,1465
"Halsted Financial Services, LLC.",1447
"Cascade CISS Holdings, LLC",1419
The Receivable Management Services LLC,1407
"Continental Services Group, Inc. d/b/a ConServe",1403
"WEBSTER BANK, NATIONAL ASSOCIATION",1400
"PLANET HOME LENDING, LLC",1398
FIRST HORIZON BANK,1391
"BSI Financial Holdings, Inc.",1383
FIRST ADVANTAGE CORPORATION,1382
"Capital Accounts, LLC",1379
ACS Education Services,1378
TekCollect Inc.,1352
BTH Management,1338
Possible Financial Inc,1337
Regional Management Corporation,1328
"FIRST CITIZENS BANCSHARES, INC.",1328
"Opportunity Financial, LLC",1320
CONTRACT CALLERS INC,1319
R & B Corporation of Virginia,1298
FinCo Services Inc DBA Current,1288
World Omni Financial Corp.,1275
"Byrider Franchising, LLC",1271
"Big Picture Loans, LLC",1263
TENET HEALTHCARE CORPORATION,1258
"Williams & Fudge, Inc",1258
"Servis One, Inc., Titusville, PA Branch",1255
"Open Dealer Exchange, LLC",1250
"Checkr, Inc",1249
"ORG GC GP BUYER, LLC",1247
"Prosper Marketplace, Inc.",1244
"CASHCALL, INC.",1236
"The Outsource Group, Inc",1233
TMX Finance LLC,1229
"Tower Loan of Mississippi, Inc.",1227
HEARTLAND PAYMENT SYSTEMS INC,1225
United Revenue Corporation,1219
"Stellar Recovery, Inc.",1214
Thaxton Investment Corporation,1211
First Credit Services Inc.,1210
"American First Finance, Inc.",1209
"COMMUNITY CHOICE FINANCIAL, INC.",1203
First Data Corporation,1202
Winklevoss Exchange LLC,1196
"Trident Asset Management, L.L.C.",1189
