product,complaint_what_happened,date_sent_to_company,issue,sub_product,zip_code,tags,complaint_id,timely,consumer_consent_provided,company_response,submitted_via,company,date_received,state,consumer_disputed,company_public_response,sub_issue,id
Debt collection,"I have attempted multiple times to dispute a fraudulent unsecured loan/account, in the reported amount of {$6500.00} ( please be advised that the reported amount may change or vary from creditor ). I am the victim of identity theft and did not make this charge from USAA Federal Savings. I have requested that the charge be corrected and removed from my file, and blocked in its entirety from being reported on my credit file, following consumer rights from The Fair Credit Reporting Act ( FCRA ) and in conjunction with providing a valid copy of my FTC Identity Theft Report and Police Report. In the month of XX/XX/2019, a debit/bank account was opened with USAA followed by an unsecured loan that was taken out using my information. I had no prior accounts with USAA. I was not made aware of this action until XX/XX/2019 when I reviewed my credit report. Immediately I contacted USAA, in order to dispute this action. USAA did not notify me of the account via email or telephone. There was no way for me to know about this account unless I reviewed my credit report. At the time of the loan being taken out, address information was not correct that was on file with USAA. I updated address information with the post office immediately after moving so any information should have been forwarded. Im unsure if USAA even mailed anything out pertaining to the account being opened. After the incident, I notified the major credit bureaus, in order to place fraud alerts and credit freezes on my report, as well as contacted the FTC to report the identity theft. Following this, I contacted the police department to file a police report of the incident. 
I provided USAA with a copy of the FTC Identity Theft Report and the Police Report supporting my position and asked them to Please investigate this matter and correct the fraudulent charge as soon as possible. I have sent our various documentation and statements regarding this fraudulent charge, as well as disputes made and requested a response from USAA in writing, but they have failed to contact me. It has been over a year and USAA continues to report the fraudulent account to the major credit agencies and refuses acknowledge the account as fraud, despite the multiple disputes from myself and the credit agencies, as well as the valid documentation provided. I have been contacted by three different collection agencies regarding paying this loan and each time I provide a copy of my police report. A detective working on my case has also reach out to USAA, who have been difficult in communicating with.",2020-09-23T12:00:00-05:00,Attempts to collect debt not owed,I do not know,21043,Servicemember,3862166,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2020-09-23T12:00:00-05:00,MD,N/A,Company believes it acted appropriately as authorized by contract or law,Debt was result of identity theft,3862166
Credit card,,2025-06-30T12:00:00-05:00,"Other features, terms, or problems",General-purpose credit card or charge card,773XX,,14368831,Yes,Other,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2025-06-30T12:00:00-05:00,TX,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Other problem,14368831
Checking or savings account,,2020-05-10T12:00:00-05:00,Problem with a lender or other company charging your account,Checking account,85122,Servicemember,3645441,Yes,Consent not provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2020-05-10T12:00:00-05:00,AZ,N/A,Company believes it acted appropriately as authorized by contract or law,Can't stop withdrawals from your account,3645441
Credit card or prepaid card,"XX/XX/XXXX I reported unauthorized charges of {$470.00} No Ajustment Purchases/Temporary Credits ever applied No Permanet Credits from USAA ( see XX/XX/XXXX statement ) ARE THESE FALSE STATEMENTS? OR IS LETTER OF XX/XX/XXXX FALSE STATEMENTS ( * BOTH CAN NOT BE CORRECT ) Other Credits were from merchants for {$340.00} XX/XX/XXXX Returned Items refunded by merchants days after purchase was made These appear a new charge. a second time XX/XX/XXXX I reported the XXXX new purchase charges XX/XX/XXXX unauthorized There are NO USAA {$470.00} CREDITS in XX/XX/XXXX ( see statement ) or any months following Kindly Note the XX/XX/XXXX Credit Card Fraud Claim date XX/XX/XXXX {$470.00} USAA says the CREDITS WERE APPLIED AT BEGINNING OF FRAUD INVESTIGATION. which is XX/XX/XXXX Why are there No USAA Adjustment Purchases/temp credits or USAA permanet Credits XX/XX/XXXX or XXXX XXXX? No Temporary ones or permanet XXXX, XXXX none yet XX/XX/XXXX I reported unauthorized charges XX/XX/XXXX of {$810.00} ALL XX/XX/XXXX CHARGES APPEARRED FOR THE SECOND TIME even returned items Kindly Note Fraud Reported XX/XX/XXXX NO RESOLVE. ( USAA letter dated XX/XX/XXXX TOOK 2 years TO INVESTIGATE FRAUD and Investigation not in my favor. XX/XX/XXXX all fraud charges are credit reversals when no credit given WHY DID IT TAKE USAA A YEAR TO BE AWARE OF FRAUD? WHY HAS IT NOT BEEN RESOLVED YET? after 2 years why put back on card as new purchases Please explain in detail paperwork How USAA temporary vs permanet credits policy works on statements HOW IS MEMBER ABLE TO VIEW ( ON STATEMENTS ) what temporary credits have been made permanet Please also explain ADJUSTMENT PURCHASES when do they actually apply to my account to be able to decide there are in fact TWO CREDITS APPLIED TO BALANCE to allow all the credit reversals. If temporary credits do not apply then THERE WERE NO TWO CREDITS ONLY ONE CREDIT PER PURCHASE XX/XX/XXXX There are {$2600.00} Other Credits ONLY {$910.00} APPLIED STATEMENT XX/XX/XXXX STATES TOTAL CREDITS APPLIED {$910.00} USAA EXPECTS ME TO BELIEVE ALL {$2.00}, XXXX CREDITS APPLIED AGAINST BALANCE I SAY SHOW ME MATHMATICALLY WHEN EACH WAS APPLIED OFF MY BALANCE ALL OF THE USAA CREDITS TURN INTO NEW CHARGES THE ( VERY SAME DAY OF CREDIT ) YOU CAN NOT TAKE BACK WHAT WAS NOT APPILED GIVEN OFF BALANCE OR IS STATEMENT XX/XX/XXXX FALSE IN SAYING TOTAL CREDITS THIS PERIOD {$910.00} DOES TOTAL MEAN TOTAL? Or What?????",2020-01-28T12:00:00-05:00,Problem with a purchase shown on your statement,General-purpose credit card or charge card,337XX,Older American,3511425,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2020-01-28T12:00:00-05:00,FL,N/A,Company believes it acted appropriately as authorized by contract or law,Card was charged for something you did not purchase with the card,3511425
Checking or savings account,"My checking and savings account was closed. I Have been a usaa member for 4 years. I never had any problems besides fraudulent transactions that was disputed on my account. XXXX percent of the disputes worked out in my favor. So I asked the representative why was my account closed, they stated that the fraud department didnt have to give an reason to why they decided to close my account and all of that information is in the XXXX disclosure I signed when I became a member. No documents was provided. The policy is that they have 60 days to close the account and send my funds in a check. I have bills and I also get ssi every month going into that checking account. I cant afford to not pay my bills for 60 days. I need my funds to be released. I cant survive 60 days without any funds. This is going to put me in a financial hardship. On The high dispute claims, there reversing the credits and on the low disputes they made permanent. I also asked for documentation on how they came up with there decision being that those disputes was under the same dispute number ID claim XXXX. All of those disputes was fraudulent thru cashapp at the same time. So why was some considered as fraudulent and some was considered not fraudulent. They never gave me any evidence to support the claims and how they came up with there answer. I also noticed that this same company has a big lawsuit going on for doing unethical business towards the consumers.",2024-08-07T12:00:00-05:00,Closing an account,Checking account,30213,,9734151,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2024-08-07T12:00:00-05:00,GA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Company closed your account,9734151
Credit card or prepaid card,,2022-06-17T12:00:00-05:00,Getting a credit card,General-purpose credit card or charge card,10025,,5680678,Yes,Consent not provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2022-06-17T12:00:00-05:00,NY,N/A,Company believes it acted appropriately as authorized by contract or law,Card opened as result of identity theft or fraud,5680678
Debt collection,,2023-02-22T12:00:00-05:00,False statements or representation,Other debt,21206,Servicemember,6596390,Yes,Consent not provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2023-02-22T12:00:00-05:00,MD,N/A,Company can't verify or dispute the facts in the complaint,Attempted to collect wrong amount,6596390
Credit card or prepaid card,"This is regards to a credit card dispute with my bank USAA. They did not adequately process the dispute even though I showed proof that it was a fraudulent charge. 

On XX/XX/XXXX I booked a room through XXXX. Conrmation Number XXXX for hotel : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, FL XXXX ( XXXX ) XXXX. 

When I arrived the hotel did not have a reservation for me and the front desk agent states that the hotel was sold out. I called XXXX for a refund and they have refused to issue a room or give a refund. They stated that they need to call the hotel, but no one answers the phone. I contacted the hotel and they have also refused to reach out to XXXX to issue a refund. I believe that taking a customer 's money and refusing to provide service or a refund is fraud.",2021-05-10T12:00:00-05:00,Problem with a purchase shown on your statement,General-purpose credit card or charge card,34743,Servicemember,4363434,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2021-05-10T12:00:00-05:00,FL,N/A,Company believes it acted appropriately as authorized by contract or law,Credit card company isn't resolving a dispute about a purchase on your statement,4363434
Credit reporting or other personal consumer reports,,2023-10-06T12:00:00-05:00,Improper use of your report,Credit reporting,76549,Servicemember,7655738,Yes,Consent not provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2023-10-06T12:00:00-05:00,TX,N/A,Company believes it acted appropriately as authorized by contract or law,Reporting company used your report improperly,7655738
Checking or savings account,,2023-02-15T12:00:00-05:00,Closing an account,Checking account,78617,Servicemember,6575462,Yes,N/A,Closed with explanation,Phone,UNITED SERVICES AUTOMOBILE ASSOCIATION,2023-02-15T12:00:00-05:00,TX,N/A,Company believes it acted appropriately as authorized by contract or law,Funds not received from closed account,6575462
